,title
0,Toy Story (1995)
2,Grumpier Old Men (1995)
5,Heat (1995)
43,Seven (a.k.a. Se7en) (1995)
46,"Usual Suspects, The (1995)"
62,From Dusk Till Dawn (1996)
89,Bottle Rocket (1996)
97,Braveheart (1995)
124,Rob Roy (1995)
136,Desperado (1995)
184,Billy Madison (1995)
190,Clerks (1994)
197,Dumb & Dumber (Dumb and Dumber) (1994)
201,Ed Wood (1994)
224,Star Wars: Episode IV - A New Hope (1977)
257,Pulp Fiction (1994)
275,Stargate (1994)
291,Tommy Boy (1995)
307,Clear and Present Danger (1994)
314,Forrest Gump (1994)
320,"Jungle Book, The (1994)"
325,"Mask, The (1994)"
384,Dazed and Confused (1993)
398,"Fugitive, The (1993)"
418,Jurassic Park (1993)
436,Mrs. Doubtfire (1993)
461,Schindler's List (1993)
476,So I Married an Axe Murderer (1993)
484,"Three Musketeers, The (1993)"
485,Tombstone (1993)
508,Dances with Wolves (1990)
509,Batman (1989)
510,"Silence of the Lambs, The (1991)"
513,Pinocchio (1940)
520,Fargo (1996)
546,Mission: Impossible (1996)
551,James and the Giant Peach (1996)
559,Space Jam (1996)
592,"Rock, The (1996)"
594,Twister (1996)
615,Independence Day (a.k.a. ID4) (1996)
701,"Wizard of Oz, The (1939)"
705,Citizen Kane (1941)
783,"Sword in the Stone, The (1963)"
786,Dumbo (1941)
788,Bedknobs and Broomsticks (1971)
789,Alice in Wonderland (1951)
797,That Thing You Do! (1996)
801,"Ghost and the Darkness, The (1996)"
810,Swingers (1996)
815,Willy Wonka & the Chocolate Factory (1971)
820,Monty Python's Life of Brian (1979)
828,Reservoir Dogs (1992)
829,Platoon (1986)
831,Basic Instinct (1992)
836,E.T. the Extra-Terrestrial (1982)
856,"Abyss, The (1989)"
863,Monty Python and the Holy Grail (1975)
898,Star Wars: Episode V - The Empire Strikes Back (1980)
899,"Princess Bride, The (1987)"
900,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
907,"Clockwork Orange, A (1971)"
909,Apocalypse Now (1979)
911,Star Wars: Episode VI - Return of the Jedi (1983)
914,Goodfellas (1990)
915,Alien (1979)
920,Psycho (1960)
921,"Blues Brothers, The (1980)"
923,Full Metal Jacket (1987)
939,"Terminator, The (1984)"
955,Duck Soup (1933)
957,"Shining, The (1980)"
964,Groundhog Day (1993)
969,Back to the Future (1985)
974,Highlander (1986)
977,Young Frankenstein (1974)
981,Fantasia (1940)
990,Indiana Jones and the Last Crusade (1989)
996,Pink Floyd: The Wall (1982)
1060,Batman Returns (1992)
1076,Sneakers (1992)
1084,"Last of the Mohicans, The (1992)"
1146,Grosse Pointe Blank (1997)
1154,Austin Powers: International Man of Mystery (1997)
1171,Con Air (1997)
1181,Face/Off (1997)
1183,Men in Black (a.k.a. MIB) (1997)
1190,Conan the Barbarian (1982)
1218,L.A. Confidential (1997)
1224,"Game, The (1997)"
1235,I Know What You Did Last Summer (1997)
1261,Starship Troopers (1997)
1298,"Big Lebowski, The (1998)"
1319,"Wedding Singer, The (1998)"
1333,Wild Things (1998)
1431,Rocky (1976)
1444,Labyrinth (1986)
1475,Lethal Weapon (1987)
1480,"Goonies, The (1985)"
1487,Back to the Future Part III (1990)
